sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,0.0,30.0,0.0,0.9,0.9630358219146729
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,0.0,30.0,0.0,0.9,0.9640709989882362
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,0.0,30.0,0.0,0.9,0.9620006448411095
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,0.0,30.0,0.9,1.2,0.9715105891227722
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,0.0,30.0,0.9,1.2,0.9717918540873979
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,0.0,30.0,0.9,1.2,0.9712293241581466
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,0.0,30.0,1.2,2.1,0.9750500321388245
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,0.0,30.0,1.2,2.1,0.9754795505250708
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,0.0,30.0,1.2,2.1,0.9746205137525781
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,0.0,30.0,2.1,2.4,0.9761889576911926
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,0.0,30.0,2.1,2.4,0.9765568586619472
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,0.0,30.0,2.1,2.4,0.9758210567204381
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,0.0,30.0,2.4,3.0,0.9773378372192383
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,0.0,30.0,2.4,3.0,0.9781030904448829
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,0.0,30.0,2.4,3.0,0.9765725839935937
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,0.0,30.0,3.0,3.5999999999999996,0.9759988784790039
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,0.0,30.0,3.0,3.5999999999999996,0.9785380799821333
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,0.0,30.0,3.0,3.5999999999999996,0.9734596769758745
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,30.0,40.0,0.0,0.9,0.9586693644523621
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,30.0,40.0,0.0,0.9,0.960069953272624
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,30.0,40.0,0.0,0.9,0.9572687756321001
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,30.0,40.0,0.9,1.2,0.9674456715583801
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,30.0,40.0,0.9,1.2,0.9679211046739641
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,30.0,40.0,0.9,1.2,0.9669702384427962
NUM_IsoMu24_or_IsoTkMu24_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,30.0,40.0,1.2,2.1,0.9708921909332275
