sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,central,0.0,20.0,0.0,0.9,0.9932361841201782
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,up,0.0,20.0,0.0,0.9,0.9984737574338896
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,down,0.0,20.0,0.0,0.9,0.9879986108064669
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,central,20.0,25.0,0.0,0.9,0.991814374923706
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,up,20.0,25.0,0.0,0.9,0.9947862750081161
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,down,20.0,25.0,0.0,0.9,0.988842474839296
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,central,25.0,30.0,0.0,0.9,0.9913920164108276
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,up,25.0,30.0,0.0,0.9,0.9945090013445229
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,down,25.0,30.0,0.0,0.9,0.9882750314771324
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,central,30.0,40.0,0.0,0.9,0.99104905128479
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,up,30.0,40.0,0.0,0.9,0.9942226170887001
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,down,30.0,40.0,0.0,0.9,0.98787548548088
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,central,40.0,50.0,0.0,0.9,0.9911022782325745
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,up,40.0,50.0,0.0,0.9,0.9941795413136172
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,down,40.0,50.0,0.0,0.9,0.9880250151515317
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,central,50.0,60.0,0.0,0.9,0.9900751113891602
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,up,50.0,60.0,0.0,0.9,0.993253970127608
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,down,50.0,60.0,0.0,0.9,0.9868962526507123
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,central,60.0,99999.0,0.0,0.9,0.9898656010627747
NUM_HighPtID_DEN_TrackerMuons_abseta_pt,up,60.0,99999.0,0.0,0.9,0.9923842028831825
