sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,0.0,20.0,0.0,0.9,0.9898648262023926
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,0.0,20.0,0.0,0.9,1.0024052529423322
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,0.0,20.0,0.0,0.9,0.977324399462453
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,20.0,25.0,0.0,0.9,1.0001870393753052
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,20.0,25.0,0.0,0.9,1.0099107531564726
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,20.0,25.0,0.0,0.9,0.9904633255941379
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,25.0,30.0,0.0,0.9,0.9959398508071899
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,25.0,30.0,0.0,0.9,1.0020014467690617
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,25.0,30.0,0.0,0.9,0.9898782548453182
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,30.0,40.0,0.0,0.9,0.9984055757522583
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,30.0,40.0,0.0,0.9,0.9990635439710642
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,30.0,40.0,0.0,0.9,0.9977476075334524
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,40.0,50.0,0.0,0.9,0.9987441301345825
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,40.0,50.0,0.0,0.9,0.9989048143697062
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,40.0,50.0,0.0,0.9,0.9985834458994588
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,50.0,60.0,0.0,0.9,0.9992479085922241
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,50.0,60.0,0.0,0.9,0.9994542862787599
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,50.0,60.0,0.0,0.9,0.9990415309056884
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,60.0,99999.0,0.0,0.9,1.0000661611557007
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,60.0,99999.0,0.0,0.9,1.0003493377818036
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,60.0,99999.0,0.0,0.9,0.9997829845295977
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,0.0,20.0,0.9,1.2,0.9961777925491333
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,0.0,20.0,0.9,1.2,1.0070585613402283
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,0.0,20.0,0.9,1.2,0.9852970237580383
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,20.0,25.0,0.9,1.2,0.9964699149131775
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,20.0,25.0,0.9,1.2,1.0056053218526464
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,20.0,25.0,0.9,1.2,0.9873345079737086
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,25.0,30.0,0.9,1.2,1.001320242881775
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,25.0,30.0,0.9,1.2,1.007581872741174
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,25.0,30.0,0.9,1.2,0.9950586130223757
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,30.0,40.0,0.9,1.2,0.9999786615371704
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,30.0,40.0,0.9,1.2,1.000585732397792
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,30.0,40.0,0.9,1.2,0.9993715906765489
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,40.0,50.0,0.9,1.2,0.9988015294075012
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,40.0,50.0,0.9,1.2,0.9990107472158811
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,40.0,50.0,0.9,1.2,0.9985923115991213
