sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,0.0,20.0,0.0,0.9,0.9973094463348389
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,0.0,20.0,0.0,0.9,1.0092741845678777
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,0.0,20.0,0.0,0.9,0.9853447081018002
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,20.0,25.0,0.0,0.9,1.0021437406539917
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,20.0,25.0,0.0,0.9,1.0132226791988599
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,20.0,25.0,0.0,0.9,0.9910648021091235
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,25.0,30.0,0.0,0.9,0.998626172542572
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,25.0,30.0,0.0,0.9,1.0061643587457072
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,25.0,30.0,0.0,0.9,0.991087986339437
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,30.0,40.0,0.0,0.9,0.9982523918151855
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,30.0,40.0,0.0,0.9,0.9996443088259184
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,30.0,40.0,0.0,0.9,0.9968604748044527
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,40.0,50.0,0.0,0.9,0.9991168975830078
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,40.0,50.0,0.0,0.9,0.9992065956353704
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,40.0,50.0,0.0,0.9,0.9990271995306452
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,50.0,60.0,0.0,0.9,0.9992381930351257
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,50.0,60.0,0.0,0.9,0.9995327749316283
NUM_LooseRelIso_DEN_LooseID_abseta_pt,down,50.0,60.0,0.0,0.9,0.9989436111386232
NUM_LooseRelIso_DEN_LooseID_abseta_pt,central,60.0,99999.0,0.0,0.9,0.9999790787696838
NUM_LooseRelIso_DEN_LooseID_abseta_pt,up,60.0,99999.0,0.0,0.9,1.000215725438717
