sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,0.0,30.0,0.0,0.9,0.971731424331665
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,0.0,30.0,0.0,0.9,0.9727283097820852
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,0.0,30.0,0.0,0.9,0.9707345388812448
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,0.0,30.0,0.9,1.2,0.9748376607894897
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,0.0,30.0,0.9,1.2,0.9754555565050607
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,0.0,30.0,0.9,1.2,0.9742197650739188
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,0.0,30.0,1.2,2.1,0.9744088649749756
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,0.0,30.0,1.2,2.1,0.9747118495753407
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,0.0,30.0,1.2,2.1,0.9741058803746104
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,0.0,30.0,2.1,2.4,0.9732128381729126
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,0.0,30.0,2.1,2.4,0.97355591426672
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,0.0,30.0,2.1,2.4,0.9728697620791052
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,0.0,30.0,2.4,3.0,0.9723783135414124
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,0.0,30.0,2.4,3.0,0.9729886005283754
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,0.0,30.0,2.4,3.0,0.9717680265544493
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,0.0,30.0,3.0,3.5999999999999996,0.9676814675331116
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,0.0,30.0,3.0,3.5999999999999996,0.9702234697781326
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,down,0.0,30.0,3.0,3.5999999999999996,0.9651394652880906
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,central,30.0,40.0,0.0,0.9,0.9517898559570312
NUM_IsoMu27_DEN_CutBasedIdTight_and_PFIsoTight_abseta_pt,up,30.0,40.0,0.0,0.9,0.9540600636882379
