sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
mediumElectronID,central,0.0,20.0,-2.5,-2.0,1.0568181276321411
mediumElectronID,up,0.0,20.0,-2.5,-2.0,1.0814137701405293
mediumElectronID,down,0.0,20.0,-2.5,-2.0,1.032222485123753
mediumElectronID,central,20.0,35.0,-2.5,-2.0,1.0014164447784424
mediumElectronID,up,20.0,35.0,-2.5,-2.0,1.0164792874209
mediumElectronID,down,20.0,35.0,-2.5,-2.0,0.9863536021359847
mediumElectronID,central,35.0,50.0,-2.5,-2.0,0.9950980544090271
mediumElectronID,up,35.0,50.0,-2.5,-2.0,0.9984018364992937
mediumElectronID,down,35.0,50.0,-2.5,-2.0,0.9917942723187605
mediumElectronID,central,50.0,100.0,-2.5,-2.0,0.9918032884597778
mediumElectronID,up,50.0,100.0,-2.5,-2.0,0.9960631538133651
mediumElectronID,down,50.0,100.0,-2.5,-2.0,0.9875434231061906
mediumElectronID,central,100.0,200.0,-2.5,-2.0,1.0
mediumElectronID,up,100.0,200.0,-2.5,-2.0,1.0129392548655527
mediumElectronID,down,100.0,200.0,-2.5,-2.0,0.9870607451344473
mediumElectronID,central,200.0,99999.0,-2.5,-2.0,0.9891657829284668
mediumElectronID,up,200.0,99999.0,-2.5,-2.0,1.0427549498335438
mediumElectronID,down,200.0,99999.0,-2.5,-2.0,0.9355766160233899
mediumElectronID,central,0.0,20.0,-2.0,-1.566,1.0353130102157593
mediumElectronID,up,0.0,20.0,-2.0,-1.566,1.0538887988868604
mediumElectronID,down,0.0,20.0,-2.0,-1.566,1.0167372215446582
mediumElectronID,central,20.0,35.0,-2.0,-1.566,0.9870466589927673
mediumElectronID,up,20.0,35.0,-2.0,-1.566,1.0002056230818384
mediumElectronID,down,20.0,35.0,-2.0,-1.566,0.9738876949036962
mediumElectronID,central,35.0,50.0,-2.0,-1.566,0.9861271381378174
mediumElectronID,up,35.0,50.0,-2.0,-1.566,0.9888430708302456
mediumElectronID,down,35.0,50.0,-2.0,-1.566,0.9834112054453892
mediumElectronID,central,50.0,100.0,-2.0,-1.566,0.9865319728851318
mediumElectronID,up,50.0,100.0,-2.0,-1.566,0.9901687521771677
mediumElectronID,down,50.0,100.0,-2.0,-1.566,0.982895193593096
mediumElectronID,central,100.0,200.0,-2.0,-1.566,0.9978237152099609
mediumElectronID,up,100.0,200.0,-2.0,-1.566,1.0098441119847967
mediumElectronID,down,100.0,200.0,-2.0,-1.566,0.9858033184351253
mediumElectronID,central,200.0,99999.0,-2.0,-1.566,1.042810082435608
mediumElectronID,up,200.0,99999.0,-2.0,-1.566,1.071327110981658
mediumElectronID,down,200.0,99999.0,-2.0,-1.566,1.0142930538895578
mediumElectronID,central,0.0,20.0,-1.566,-1.444,1.0
mediumElectronID,up,0.0,20.0,-1.566,-1.444,2.0
mediumElectronID,down,0.0,20.0,-1.566,-1.444,0.0
mediumElectronID,central,20.0,35.0,-1.566,-1.444,1.0
mediumElectronID,up,20.0,35.0,-1.566,-1.444,2.0
mediumElectronID,down,20.0,35.0,-1.566,-1.444,0.0
mediumElectronID,central,35.0,50.0,-1.566,-1.444,1.0
mediumElectronID,up,35.0,50.0,-1.566,-1.444,2.0
mediumElectronID,down,35.0,50.0,-1.566,-1.444,0.0
