sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
electronReco,central,0.0,45.0,-2.5,-2.0,0.9835391044616699
electronReco,up,0.0,45.0,-2.5,-2.0,0.9871325336197807
electronReco,down,0.0,45.0,-2.5,-2.0,0.9799456753035591
electronReco,central,45.0,75.0,-2.5,-2.0,0.9867075681686401
electronReco,up,45.0,75.0,-2.5,-2.0,0.9920369742477165
electronReco,down,45.0,75.0,-2.5,-2.0,0.9813781620895637
electronReco,central,75.0,100.0,-2.5,-2.0,0.9969262480735779
electronReco,up,75.0,100.0,-2.5,-2.0,1.0054371331790268
electronReco,down,75.0,100.0,-2.5,-2.0,0.988415362968129
electronReco,central,100.0,99999.0,-2.5,-2.0,0.9989827275276184
electronReco,up,100.0,99999.0,-2.5,-2.0,1.006458281167852
electronReco,down,100.0,99999.0,-2.5,-2.0,0.9915071738873849
electronReco,central,0.0,45.0,-2.0,-1.566,0.9887179732322693
electronReco,up,0.0,45.0,-2.0,-1.566,0.9921178961337099
electronReco,down,0.0,45.0,-2.0,-1.566,0.9853180503308286
electronReco,central,45.0,75.0,-2.0,-1.566,0.9887869358062744
electronReco,up,45.0,75.0,-2.0,-1.566,0.9927018928643114
electronReco,down,45.0,75.0,-2.0,-1.566,0.9848719787482374
electronReco,central,75.0,100.0,-2.0,-1.566,0.9939024448394775
electronReco,up,75.0,100.0,-2.0,-1.566,0.9986691275222249
electronReco,down,75.0,100.0,-2.0,-1.566,0.9891357621567302
electronReco,central,100.0,99999.0,-2.0,-1.566,1.007128357887268
electronReco,up,100.0,99999.0,-2.0,-1.566,1.0141835546594427
electronReco,down,100.0,99999.0,-2.0,-1.566,1.0000731611150935
electronReco,central,0.0,45.0,-1.566,-1.444,0.9754385948181152
electronReco,up,0.0,45.0,-1.566,-1.444,0.9801020812653501
electronReco,down,0.0,45.0,-1.566,-1.444,0.9707751083708803
electronReco,central,45.0,75.0,-1.566,-1.444,0.96592116355896
electronReco,up,45.0,75.0,-1.566,-1.444,0.9746638787212758
electronReco,down,45.0,75.0,-1.566,-1.444,0.9571784483966441
electronReco,central,75.0,100.0,-1.566,-1.444,1.0338428020477295
electronReco,up,75.0,100.0,-1.566,-1.444,1.052908576279796
electronReco,down,75.0,100.0,-1.566,-1.444,1.014777027815663
electronReco,central,100.0,99999.0,-1.566,-1.444,1.0308030843734741
electronReco,up,100.0,99999.0,-1.566,-1.444,1.0545257011532847
electronReco,down,100.0,99999.0,-1.566,-1.444,1.0070804675936635
electronReco,central,0.0,45.0,-1.444,-1.0,0.9823834300041199
electronReco,up,0.0,45.0,-1.444,-1.0,0.9855482388128077
