sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
tightElectronID,central,0.0,20.0,-2.5,-2.0,1.0546448230743408
tightElectronID,up,0.0,20.0,-2.5,-2.0,1.0883303153277828
tightElectronID,down,0.0,20.0,-2.5,-2.0,1.0209593308208988
tightElectronID,central,20.0,35.0,-2.5,-2.0,1.0
tightElectronID,up,20.0,35.0,-2.5,-2.0,1.0172603767315471
tightElectronID,down,20.0,35.0,-2.5,-2.0,0.9827396232684529
tightElectronID,central,35.0,50.0,-2.5,-2.0,0.9914893507957458
tightElectronID,up,35.0,50.0,-2.5,-2.0,0.9950455385624599
tightElectronID,down,35.0,50.0,-2.5,-2.0,0.9879331630290318
tightElectronID,central,50.0,100.0,-2.5,-2.0,0.9895012974739075
tightElectronID,up,50.0,100.0,-2.5,-2.0,0.9964856245519197
tightElectronID,down,50.0,100.0,-2.5,-2.0,0.9825169703958953
tightElectronID,central,100.0,200.0,-2.5,-2.0,0.9964454770088196
tightElectronID,up,100.0,200.0,-2.5,-2.0,1.0124715069214683
tightElectronID,down,100.0,200.0,-2.5,-2.0,0.9804194470961709
tightElectronID,central,200.0,99999.0,-2.5,-2.0,1.0229620933532715
tightElectronID,up,200.0,99999.0,-2.5,-2.0,1.0709665597997775
tightElectronID,down,200.0,99999.0,-2.5,-2.0,0.9749576269067654
tightElectronID,central,0.0,20.0,-2.0,-1.566,1.0105931758880615
tightElectronID,up,0.0,20.0,-2.0,-1.566,1.0431239336128904
tightElectronID,down,0.0,20.0,-2.0,-1.566,0.9780624181632327
tightElectronID,central,20.0,35.0,-2.0,-1.566,0.9728915691375732
tightElectronID,up,20.0,35.0,-2.0,-1.566,0.9880626241514593
tightElectronID,down,20.0,35.0,-2.0,-1.566,0.9577205141236872
tightElectronID,central,35.0,50.0,-2.0,-1.566,0.9770992398262024
tightElectronID,up,35.0,50.0,-2.0,-1.566,0.9810331351695138
tightElectronID,down,35.0,50.0,-2.0,-1.566,0.9731653444828909
tightElectronID,central,50.0,100.0,-2.0,-1.566,0.981796145439148
tightElectronID,up,50.0,100.0,-2.0,-1.566,0.9886032844084152
tightElectronID,down,50.0,100.0,-2.0,-1.566,0.9749890064698807
tightElectronID,central,100.0,200.0,-2.0,-1.566,0.9931740760803223
tightElectronID,up,100.0,200.0,-2.0,-1.566,1.0048282801921433
tightElectronID,down,100.0,200.0,-2.0,-1.566,0.9815198719685011
tightElectronID,central,200.0,99999.0,-2.0,-1.566,1.0499999523162842
tightElectronID,up,200.0,99999.0,-2.0,-1.566,1.0907098734251095
tightElectronID,down,200.0,99999.0,-2.0,-1.566,1.0092900312074589
tightElectronID,central,0.0,20.0,-1.566,-1.444,1.0
tightElectronID,up,0.0,20.0,-1.566,-1.444,2.0
tightElectronID,down,0.0,20.0,-1.566,-1.444,0.0
tightElectronID,central,20.0,35.0,-1.566,-1.444,1.0
tightElectronID,up,20.0,35.0,-1.566,-1.444,2.0
tightElectronID,down,20.0,35.0,-1.566,-1.444,0.0
tightElectronID,central,35.0,50.0,-1.566,-1.444,1.0
tightElectronID,up,35.0,50.0,-1.566,-1.444,2.0
tightElectronID,down,35.0,50.0,-1.566,-1.444,0.0
tightElectronID,central,50.0,100.0,-1.566,-1.444,1.0
tightElectronID,up,50.0,100.0,-1.566,-1.444,2.0
tightElectronID,down,50.0,100.0,-1.566,-1.444,0.0
tightElectronID,central,100.0,200.0,-1.566,-1.444,1.0
tightElectronID,up,100.0,200.0,-1.566,-1.444,2.0
tightElectronID,down,100.0,200.0,-1.566,-1.444,0.0
tightElectronID,central,200.0,99999.0,-1.566,-1.444,1.0
tightElectronID,up,200.0,99999.0,-1.566,-1.444,2.0
tightElectronID,down,200.0,99999.0,-1.566,-1.444,0.0
tightElectronID,central,0.0,20.0,-1.444,-0.8,0.9777158498764038
tightElectronID,up,0.0,20.0,-1.444,-0.8,1.0058968871905436
tightElectronID,down,0.0,20.0,-1.444,-0.8,0.9495348125622641
tightElectronID,central,20.0,35.0,-1.444,-0.8,0.943493127822876
tightElectronID,up,20.0,35.0,-1.444,-0.8,0.9582996485447014
tightElectronID,down,20.0,35.0,-1.444,-0.8,0.9286866071010506
tightElectronID,central,35.0,50.0,-1.444,-0.8,0.94972825050354
tightElectronID,up,35.0,50.0,-1.444,-0.8,0.9544703471703951
tightElectronID,down,35.0,50.0,-1.444,-0.8,0.9449861538366849
tightElectronID,central,50.0,100.0,-1.444,-0.8,0.9517766237258911
tightElectronID,up,50.0,100.0,-1.444,-0.8,0.95571806490426
tightElectronID,down,50.0,100.0,-1.444,-0.8,0.9478351825475222
tightElectronID,central,100.0,200.0,-1.444,-0.8,0.9858989715576172
tightElectronID,up,100.0,200.0,-1.444,-0.8,0.9992776324469966
tightElectronID,down,100.0,200.0,-1.444,-0.8,0.9725203106682377
tightElectronID,central,200.0,99999.0,-1.444,-0.8,0.9965870380401611
tightElectronID,up,200.0,99999.0,-1.444,-0.8,1.0184610734510184
tightElectronID,down,200.0,99999.0,-1.444,-0.8,0.9747130026293039
tightElectronID,central,0.0,20.0,-0.8,0.0,0.9902912378311157
tightElectronID,up,0.0,20.0,-0.8,0.0,1.0197593570815822
tightElectronID,down,0.0,20.0,-0.8,0.0,0.9608231185806494
