nPU,central,down,up
2,80.39608715002011,93.17034117261969,70.45139871022349
3,54.68611425970552,65.62572575831587,45.7284820570718
4,9.715552516463102,11.370669984256534,8.346076625146228
5,5.084127827826642,5.932076647746592,4.383089056716437
6,2.438280863953133,2.8432884207393276,2.1103386856676383
7,1.7649333964057865,2.0885206015730877,1.5090461754823656
8,2.176863929607662,2.600551824289554,1.8405993053849348
9,2.7276457052637775,3.2793676819786506,2.295289741938002
10,2.638991708291876,3.2292856997599584,2.1950473903816006
11,2.1527707139500474,2.6868820889724634,1.7567710264951266
12,1.7968139130413021,2.2719944345679552,1.444223352188296
13,1.6147655588149168,2.0532154283075497,1.2865883088148882
14,1.5261585037299779,1.941404824296661,1.212684347708415
15,1.447388449260208,1.8378886437265045,1.1507194914494507
16,1.41234379146218,1.7868824883340362,1.1252455121905145
17,1.394426573135949,1.7528110264062684,1.1153110004631162
18,1.3719888818261163,1.7065238561540526,1.1046985924432378
19,1.3326334593340026,1.6323855795236595,1.084202938917292
20,1.2786470723649783,1.535396166119227,1.0555558665607032
21,1.2254945725965414,1.4380592873971563,1.0305725473539804
22,1.1867330604630253,1.3602093620371265,1.019273578774325
23,1.1551793994223698,1.2966930724571764,1.0137050231069076
24,1.1222131805588507,1.239784816623971,1.0038730870214827
25,1.0943579722861343,1.1966220271601715,0.9937146494109952
26,1.0763847463851048,1.1705800746462713,0.9872580043065627
27,1.0603309150238562,1.1505889083708338,0.9780281495943437
28,1.0452719386201055,1.1333450440549804,0.9665433230265742
29,1.0324633462552917,1.1183879352301274,0.9555511763613758
30,1.0309249939904006,1.1142614093634473,0.9547779970634479
31,1.0331682444162742,1.1121857592687787,0.9583014594282141
32,1.0340697375674075,1.106329046164816,0.961984487391448
33,1.0321172159656304,1.0948655285142301,0.9647084316833568
34,1.0259511836118962,1.0760714451196238,0.9653560985213973
35,1.0154487522046591,1.049495377911555,0.9640005637942218
36,1.0024497790507976,1.016764505081592,0.9626926018823714
37,0.9862455928317382,0.9771239603237223,0.9611732865926337
38,0.9674723347914437,0.9315786859099296,0.9604523633010728
39,0.9458954129768725,0.8806614452482903,0.9605543078658278
40,0.9225268986565456,0.8263517023930524,0.9625611239411297
41,0.8967680975726743,0.7692511246550466,0.9656937191175915
42,0.8709075464087693,0.7124354077055898,0.9720992220285077
43,0.8447985497174548,0.6566471002324367,0.9813177609130306
44,0.8184025033844085,0.6026330625227374,0.9929078560260617
45,0.7926586741562742,0.5517111795032514,1.0075888172826777
46,0.767891510692274,0.5045140401201921,1.025385450524163
47,0.7424377280727528,0.46027933949060257,1.0435144906699412
48,0.7198536212032386,0.42139810499046326,1.0663175045756499
49,0.6997472835462564,0.3874579171908283,1.0929127784334893
50,0.6824352464850751,0.3583777706705292,1.1233742324280138
51,0.6675126577730479,0.3336029064561845,1.1565927816520574
52,0.6526623123899741,0.3116317378054256,1.1878215973011534
53,0.6411350400879559,0.2936282338617726,1.2221787535951154
54,0.6299278793460192,0.2776920375371743,1.2536261322717785
55,0.6198977662998888,0.2637272011396717,1.2834513955450064
56,0.617544154855543,0.2538867088756639,1.3257934352015976
57,0.6071998108646264,0.2411910982605694,1.3480165603665164
58,0.5982524573368071,0.22921991827826577,1.370919895569519
59,0.5891810272380886,0.21711915366229667,1.392713815430867
60,0.5904795358583178,0.20850468163660357,1.440713144307057
61,0.5866832383632825,0.19769449123932153,1.4802137443013133
62,0.5873892412281699,0.18812453939346407,1.536721944050503
63,0.5831141001559138,0.1768627543978922,1.5872117022956866
64,0.5652624069990227,0.1618914023405464,1.6066007806103888
65,0.5225965301330328,0.14102820784000783,1.5563848466096122
66,0.4715066417756602,0.11973545732433398,1.4759746298733056
67,0.4283049127663354,0.10229035606111697,1.412809170216425
68,0.3787831095128696,0.08507962237879776,1.3190707184032187
69,0.3484030486947248,0.07362787806597768,1.2823813331702447
70,0.3093231504681773,0.06153630215367605,1.2040497838825708
71,0.25414230978657076,0.04761477141342708,1.0462211977758735
72,0.23848855153894255,0.0420843579151718,1.0379935529751958
73,0.2216388047439252,0.03682200116249294,1.019411704013238
74,0.2589781908796396,0.040465096038915314,1.258217929461432
75,0.2542836178083939,0.037303399507821536,1.3046970141489551
76,0.18690659815609284,0.025683020202853703,1.012955762283262
77,0.13985614652733247,0.01794865339591939,0.8011482514144413
78,0.14352518648215581,0.017145710048288042,0.8700730729649263
79,0.14496543637737638,0.01606149747132015,0.9316646278537445
80,0.14202527491857347,0.014538643252360716,0.9698832127888355
81,0.3248227595950524,0.030602576885518002,2.3633817170411
