sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
ele27_ele_pt_ele_sceta,central,0.0,37.0,-2.5,-1.566,0.5496376017451408
ele27_ele_pt_ele_sceta,up,0.0,37.0,-2.5,-1.566,0.5893353762649683
ele27_ele_pt_ele_sceta,down,0.0,37.0,-2.5,-1.566,0.5099398272253132
ele27_ele_pt_ele_sceta,central,0.0,37.0,-1.566,-1.4442,0.0
ele27_ele_pt_ele_sceta,up,0.0,37.0,-1.566,-1.4442,0.0
ele27_ele_pt_ele_sceta,down,0.0,37.0,-1.566,-1.4442,0.0
ele27_ele_pt_ele_sceta,central,0.0,37.0,-1.4442,-0.8,0.5537501857742616
ele27_ele_pt_ele_sceta,up,0.0,37.0,-1.4442,-0.8,0.5877351520043222
ele27_ele_pt_ele_sceta,down,0.0,37.0,-1.4442,-0.8,0.519765219544201
ele27_ele_pt_ele_sceta,central,0.0,37.0,-0.8,0.0,0.6724656338107943
ele27_ele_pt_ele_sceta,up,0.0,37.0,-0.8,0.0,0.7078976741394232
ele27_ele_pt_ele_sceta,down,0.0,37.0,-0.8,0.0,0.6370335934821654
ele27_ele_pt_ele_sceta,central,0.0,37.0,0.0,0.8,0.6467039353080223
ele27_ele_pt_ele_sceta,up,0.0,37.0,0.0,0.8,0.6720471717962646
ele27_ele_pt_ele_sceta,down,0.0,37.0,0.0,0.8,0.62136069881978
ele27_ele_pt_ele_sceta,central,0.0,37.0,0.8,1.4442,0.5757118376065407
ele27_ele_pt_ele_sceta,up,0.0,37.0,0.8,1.4442,0.6120752433056305
ele27_ele_pt_ele_sceta,down,0.0,37.0,0.8,1.4442,0.5393484319074509
ele27_ele_pt_ele_sceta,central,0.0,37.0,1.4442,1.566,0.0
ele27_ele_pt_ele_sceta,up,0.0,37.0,1.4442,1.566,0.0
ele27_ele_pt_ele_sceta,down,0.0,37.0,1.4442,1.566,0.0
ele27_ele_pt_ele_sceta,central,0.0,37.0,1.566,2.5,0.5270471392140689
ele27_ele_pt_ele_sceta,up,0.0,37.0,1.566,2.5,0.5720897413926799
ele27_ele_pt_ele_sceta,down,0.0,37.0,1.566,2.5,0.48200453703545787
ele27_ele_pt_ele_sceta,central,37.0,45.0,-2.5,-1.566,0.6272290484041659
ele27_ele_pt_ele_sceta,up,37.0,45.0,-2.5,-1.566,0.665110462248809
ele27_ele_pt_ele_sceta,down,37.0,45.0,-2.5,-1.566,0.5893476345595229
ele27_ele_pt_ele_sceta,central,37.0,45.0,-1.566,-1.4442,0.0
ele27_ele_pt_ele_sceta,up,37.0,45.0,-1.566,-1.4442,0.0
ele27_ele_pt_ele_sceta,down,37.0,45.0,-1.566,-1.4442,0.0
ele27_ele_pt_ele_sceta,central,37.0,45.0,-1.4442,-0.8,0.7131392674003135
