sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
NUM_LooseID_DEN_genTracks_pt_abseta,central,0.0,25.0,0.0,0.9,0.9980186703740827
NUM_LooseID_DEN_genTracks_pt_abseta,up,0.0,25.0,0.0,0.9,1.0007201549951497
NUM_LooseID_DEN_genTracks_pt_abseta,down,0.0,25.0,0.0,0.9,0.9953171857530156
NUM_LooseID_DEN_genTracks_pt_abseta,central,0.0,25.0,0.9,1.2,1.002151327303002
NUM_LooseID_DEN_genTracks_pt_abseta,up,0.0,25.0,0.9,1.2,1.0033913895710396
NUM_LooseID_DEN_genTracks_pt_abseta,down,0.0,25.0,0.9,1.2,1.0009112650349645
NUM_LooseID_DEN_genTracks_pt_abseta,central,0.0,25.0,1.2,2.1,0.9999096326747434
NUM_LooseID_DEN_genTracks_pt_abseta,up,0.0,25.0,1.2,2.1,1.001929044743161
NUM_LooseID_DEN_genTracks_pt_abseta,down,0.0,25.0,1.2,2.1,0.9978902206063258
NUM_LooseID_DEN_genTracks_pt_abseta,central,0.0,25.0,2.1,2.4,0.994467640194454
NUM_LooseID_DEN_genTracks_pt_abseta,up,0.0,25.0,2.1,2.4,0.998601271670421
NUM_LooseID_DEN_genTracks_pt_abseta,down,0.0,25.0,2.1,2.4,0.990334008718487
NUM_LooseID_DEN_genTracks_pt_abseta,central,25.0,30.0,0.0,0.9,0.9971972148104122
NUM_LooseID_DEN_genTracks_pt_abseta,up,25.0,30.0,0.0,0.9,0.9981980100128359
NUM_LooseID_DEN_genTracks_pt_abseta,down,25.0,30.0,0.0,0.9,0.9961964196079885
NUM_LooseID_DEN_genTracks_pt_abseta,central,25.0,30.0,0.9,1.2,0.9997426129260742
NUM_LooseID_DEN_genTracks_pt_abseta,up,25.0,30.0,0.9,1.2,1.0020815274835486
NUM_LooseID_DEN_genTracks_pt_abseta,down,25.0,30.0,0.9,1.2,0.9974036983685998
NUM_LooseID_DEN_genTracks_pt_abseta,central,25.0,30.0,1.2,2.1,0.9964350816879883
NUM_LooseID_DEN_genTracks_pt_abseta,up,25.0,30.0,1.2,2.1,0.9973150143414063
NUM_LooseID_DEN_genTracks_pt_abseta,down,25.0,30.0,1.2,2.1,0.9955551490345703
NUM_LooseID_DEN_genTracks_pt_abseta,central,25.0,30.0,2.1,2.4,0.9927958799285737
NUM_LooseID_DEN_genTracks_pt_abseta,up,25.0,30.0,2.1,2.4,0.9955028240903263
NUM_LooseID_DEN_genTracks_pt_abseta,down,25.0,30.0,2.1,2.4,0.990088935766821
NUM_LooseID_DEN_genTracks_pt_abseta,central,30.0,40.0,0.0,0.9,1.0025146824420141
