process,jetsMin,jetsMax,htMin,htMax,factor
ttH,0.0,4.5,0.0,50.0,0.0
ttH,4.5,5.5,0.0,50.0,0.0
ttH,5.5,6.5,0.0,50.0,0.0
ttH,6.5,7.5,0.0,50.0,0.0
ttH,7.5,100.0,0.0,50.0,0.0
ttH,0.0,4.5,50.0,100.0,0.0
ttH,4.5,5.5,50.0,100.0,0.0
ttH,5.5,6.5,50.0,100.0,0.0
ttH,6.5,7.5,50.0,100.0,0.0
ttH,7.5,100.0,50.0,100.0,0.0
ttH,0.0,4.5,100.0,150.0,0.9333482384681702
ttH,4.5,5.5,100.0,150.0,0.0
ttH,5.5,6.5,100.0,150.0,0.0
ttH,6.5,7.5,100.0,150.0,0.0
ttH,7.5,100.0,100.0,150.0,0.0
ttH,0.0,4.5,150.0,200.0,0.9642847180366516
ttH,4.5,5.5,150.0,200.0,0.950783908367157
ttH,5.5,6.5,150.0,200.0,1.1701716184616089
ttH,6.5,7.5,150.0,200.0,0.0
ttH,7.5,100.0,150.0,200.0,0.0
ttH,0.0,4.5,200.0,300.0,0.976065993309021
ttH,4.5,5.5,200.0,300.0,0.9758527278900146
ttH,5.5,6.5,200.0,300.0,0.9776968955993652
ttH,6.5,7.5,200.0,300.0,0.9766159653663635
ttH,7.5,100.0,200.0,300.0,0.8469629287719727
ttH,0.0,4.5,300.0,400.0,0.9770900011062622
ttH,4.5,5.5,300.0,400.0,0.9830957055091858
ttH,5.5,6.5,300.0,400.0,0.9866710305213928
ttH,6.5,7.5,300.0,400.0,0.9757183194160461
ttH,7.5,100.0,300.0,400.0,0.9561135172843933
ttH,0.0,4.5,400.0,500.0,0.9719695448875427
ttH,4.5,5.5,400.0,500.0,0.9781408905982971
ttH,5.5,6.5,400.0,500.0,0.9831193089485168
ttH,6.5,7.5,400.0,500.0,0.9857736229896545
ttH,7.5,100.0,400.0,500.0,0.9811771512031555
ttH,0.0,4.5,500.0,600.0,0.9551520347595215
ttH,4.5,5.5,500.0,600.0,0.966528058052063
ttH,5.5,6.5,500.0,600.0,0.9738225936889648
ttH,6.5,7.5,500.0,600.0,0.9783123731613159
ttH,7.5,100.0,500.0,600.0,0.9743223190307617
ttH,0.0,4.5,600.0,700.0,0.9404019117355347
ttH,4.5,5.5,600.0,700.0,0.9508607387542725
ttH,5.5,6.5,600.0,700.0,0.9537830948829651
ttH,6.5,7.5,600.0,700.0,0.9636719226837158
ttH,7.5,100.0,600.0,700.0,0.963354766368866
ttH,0.0,4.5,700.0,800.0,0.9250827431678772
ttH,4.5,5.5,700.0,800.0,0.9291948080062866
ttH,5.5,6.5,700.0,800.0,0.9418426752090454
ttH,6.5,7.5,700.0,800.0,0.9448158144950867
ttH,7.5,100.0,700.0,800.0,0.9479784965515137
ttH,0.0,4.5,800.0,900.0,0.9033639430999756
ttH,4.5,5.5,800.0,900.0,0.9203231930732727
ttH,5.5,6.5,800.0,900.0,0.9123807549476624
ttH,6.5,7.5,800.0,900.0,0.9207376837730408
ttH,7.5,100.0,800.0,900.0,0.9306706190109253
ttH,0.0,4.5,900.0,1000.0,0.8852248787879944
ttH,4.5,5.5,900.0,1000.0,0.8949324488639832
ttH,5.5,6.5,900.0,1000.0,0.8831782341003418
ttH,6.5,7.5,900.0,1000.0,0.8991349339485168
ttH,7.5,100.0,900.0,1000.0,0.9078018069267273
ttH,0.0,4.5,1000.0,10000.0,0.8596998453140259
