sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
tightElectronID,central,0.0,20.0,-2.5,-2.0,1.2035927772521973
tightElectronID,up,0.0,20.0,-2.5,-2.0,1.2497086005829336
tightElectronID,down,0.0,20.0,-2.5,-2.0,1.1574769539214609
tightElectronID,central,20.0,35.0,-2.5,-2.0,1.1626168489456177
tightElectronID,up,20.0,35.0,-2.5,-2.0,1.1953632129358143
tightElectronID,down,20.0,35.0,-2.5,-2.0,1.129870484955421
tightElectronID,central,35.0,50.0,-2.5,-2.0,1.0919880867004395
tightElectronID,up,35.0,50.0,-2.5,-2.0,1.1099861810304175
tightElectronID,down,35.0,50.0,-2.5,-2.0,1.0739899923704614
tightElectronID,central,50.0,100.0,-2.5,-2.0,1.063685655593872
tightElectronID,up,50.0,100.0,-2.5,-2.0,1.0903405596726972
tightElectronID,down,50.0,100.0,-2.5,-2.0,1.037030751515047
tightElectronID,central,100.0,200.0,-2.5,-2.0,1.0277442932128906
tightElectronID,up,100.0,200.0,-2.5,-2.0,1.0589683221811133
tightElectronID,down,100.0,200.0,-2.5,-2.0,0.9965202642446681
tightElectronID,central,200.0,99999.0,-2.5,-2.0,0.9655937552452087
tightElectronID,up,200.0,99999.0,-2.5,-2.0,1.0470778953048085
tightElectronID,down,200.0,99999.0,-2.5,-2.0,0.8841096151856089
tightElectronID,central,0.0,20.0,-2.0,-1.566,1.0220750570297241
tightElectronID,up,0.0,20.0,-2.0,-1.566,1.0697525615731414
tightElectronID,down,0.0,20.0,-2.0,-1.566,0.974397552486307
tightElectronID,central,20.0,35.0,-2.0,-1.566,1.0062015056610107
tightElectronID,up,20.0,35.0,-2.0,-1.566,1.0365030261849764
tightElectronID,down,20.0,35.0,-2.0,-1.566,0.9758999851370451
tightElectronID,central,35.0,50.0,-2.0,-1.566,1.0104849338531494
tightElectronID,up,35.0,50.0,-2.0,-1.566,1.0144684063680796
tightElectronID,down,35.0,50.0,-2.0,-1.566,1.0065014613382193
tightElectronID,central,50.0,100.0,-2.0,-1.566,1.0
tightElectronID,up,50.0,100.0,-2.0,-1.566,1.0075635755696486
tightElectronID,down,50.0,100.0,-2.0,-1.566,0.9924364244303514
tightElectronID,central,100.0,200.0,-2.0,-1.566,1.0045924186706543
tightElectronID,up,100.0,200.0,-2.0,-1.566,1.0237194321586527
tightElectronID,down,100.0,200.0,-2.0,-1.566,0.9854654051826559
tightElectronID,central,200.0,99999.0,-2.0,-1.566,1.015625
tightElectronID,up,200.0,99999.0,-2.0,-1.566,1.0679524566433578
tightElectronID,down,200.0,99999.0,-2.0,-1.566,0.9632975433566421
tightElectronID,central,0.0,20.0,-1.566,-1.444,1.0
tightElectronID,up,0.0,20.0,-1.566,-1.444,2.0
tightElectronID,down,0.0,20.0,-1.566,-1.444,0.0
tightElectronID,central,20.0,35.0,-1.566,-1.444,1.0
tightElectronID,up,20.0,35.0,-1.566,-1.444,2.0
tightElectronID,down,20.0,35.0,-1.566,-1.444,0.0
tightElectronID,central,35.0,50.0,-1.566,-1.444,1.0
tightElectronID,up,35.0,50.0,-1.566,-1.444,2.0
tightElectronID,down,35.0,50.0,-1.566,-1.444,0.0
tightElectronID,central,50.0,100.0,-1.566,-1.444,1.0
tightElectronID,up,50.0,100.0,-1.566,-1.444,2.0
tightElectronID,down,50.0,100.0,-1.566,-1.444,0.0
tightElectronID,central,100.0,200.0,-1.566,-1.444,1.0
tightElectronID,up,100.0,200.0,-1.566,-1.444,2.0
tightElectronID,down,100.0,200.0,-1.566,-1.444,0.0
tightElectronID,central,200.0,99999.0,-1.566,-1.444,1.0
tightElectronID,up,200.0,99999.0,-1.566,-1.444,2.0
tightElectronID,down,200.0,99999.0,-1.566,-1.444,0.0
tightElectronID,central,0.0,20.0,-1.444,-0.8,0.994490385055542
tightElectronID,up,0.0,20.0,-1.444,-0.8,1.0363203702871129
tightElectronID,down,0.0,20.0,-1.444,-0.8,0.9526603998239711
tightElectronID,central,20.0,35.0,-1.444,-0.8,0.9450171589851379
tightElectronID,up,20.0,35.0,-1.444,-0.8,0.9692030961375693
tightElectronID,down,20.0,35.0,-1.444,-0.8,0.9208312218327066
tightElectronID,central,35.0,50.0,-1.444,-0.8,0.9519230723381042
tightElectronID,up,35.0,50.0,-1.444,-0.8,0.9578236274108374
tightElectronID,down,35.0,50.0,-1.444,-0.8,0.9460225172653711
tightElectronID,central,50.0,100.0,-1.444,-0.8,0.9555273056030273
tightElectronID,up,50.0,100.0,-1.444,-0.8,0.9622069642779542
tightElectronID,down,50.0,100.0,-1.444,-0.8,0.9488476469281005
tightElectronID,central,100.0,200.0,-1.444,-0.8,0.9642032384872437
tightElectronID,up,100.0,200.0,-1.444,-0.8,0.9929197896550083
tightElectronID,down,100.0,200.0,-1.444,-0.8,0.935486687319479
tightElectronID,central,200.0,99999.0,-1.444,-0.8,0.9499443769454956
tightElectronID,up,200.0,99999.0,-1.444,-0.8,0.9939620266849081
tightElectronID,down,200.0,99999.0,-1.444,-0.8,0.9059267272060831
