sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,0.0,20.0,0.0,0.9,0.9811605983521633
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,0.0,20.0,0.0,0.9,0.9874189694959479
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,0.0,20.0,0.0,0.9,0.9749022272083787
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,0.0,20.0,0.9,1.2,0.9953565473047773
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,0.0,20.0,0.9,1.2,1.004973311513244
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,0.0,20.0,0.9,1.2,0.9857397830963106
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,0.0,20.0,1.2,2.1,1.0447467299898627
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,0.0,20.0,1.2,2.1,1.0489875034916976
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,0.0,20.0,1.2,2.1,1.040505956488028
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,0.0,20.0,2.1,2.4,1.0885526940876278
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,0.0,20.0,2.1,2.4,1.0951283854614646
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,0.0,20.0,2.1,2.4,1.081977002713791
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,20.0,25.0,0.0,0.9,0.9875959276750657
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,20.0,25.0,0.0,0.9,0.9906162758860142
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,20.0,25.0,0.0,0.9,0.9845755794641171
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,20.0,25.0,0.9,1.2,0.9864189571054587
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,20.0,25.0,0.9,1.2,0.9914743169800685
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,20.0,25.0,0.9,1.2,0.9813635972308489
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,20.0,25.0,1.2,2.1,1.0287432256996452
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,20.0,25.0,1.2,2.1,1.0311240414039449
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,20.0,25.0,1.2,2.1,1.0263624099953454
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,20.0,25.0,2.1,2.4,1.0653280092553012
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,20.0,25.0,2.1,2.4,1.0692220849938865
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,20.0,25.0,2.1,2.4,1.061433933516716
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,25.0,30.0,0.0,0.9,0.9887223090090205
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,25.0,30.0,0.0,0.9,0.9901671013127642
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,25.0,30.0,0.0,0.9,0.9872775167052767
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,25.0,30.0,0.9,1.2,0.9905480054634463
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,25.0,30.0,0.9,1.2,0.9931344676693935
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,25.0,30.0,0.9,1.2,0.9879615432574992
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,25.0,30.0,1.2,2.1,1.0200709229291791
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,25.0,30.0,1.2,2.1,1.0213329982121813
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,25.0,30.0,1.2,2.1,1.018808847646177
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,25.0,30.0,2.1,2.4,1.0435275603506486
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,25.0,30.0,2.1,2.4,1.0456533621872166
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,25.0,30.0,2.1,2.4,1.0414017585140807
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,30.0,40.0,0.0,0.9,0.9935372601552865
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,30.0,40.0,0.0,0.9,0.9939477859553508
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,30.0,40.0,0.0,0.9,0.9931267343552223
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,30.0,40.0,0.9,1.2,0.9935807370274083
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,30.0,40.0,0.9,1.2,0.994395118810841
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,30.0,40.0,0.9,1.2,0.9927663552439757
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,30.0,40.0,1.2,2.1,1.0103314151434084
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,30.0,40.0,1.2,2.1,1.010747543072471
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,30.0,40.0,1.2,2.1,1.0099152872143458
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,30.0,40.0,2.1,2.4,1.0252235483989323
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,30.0,40.0,2.1,2.4,1.025986328386256
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,30.0,40.0,2.1,2.4,1.0244607684116085
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,40.0,50.0,0.0,0.9,0.9965589764410334
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,40.0,50.0,0.0,0.9,0.9968279258143429
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,40.0,50.0,0.0,0.9,0.996290027067724
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,40.0,50.0,0.9,1.2,0.9964126900350697
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,40.0,50.0,0.9,1.2,0.9968042786327733
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,40.0,50.0,0.9,1.2,0.9960211014373661
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,40.0,50.0,1.2,2.1,1.0051877686811932
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,40.0,50.0,1.2,2.1,1.0054156365191738
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,40.0,50.0,1.2,2.1,1.0049599008432126
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,40.0,50.0,2.1,2.4,1.0124813495371339
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,40.0,50.0,2.1,2.4,1.012970977966363
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,40.0,50.0,2.1,2.4,1.0119917211079048
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,50.0,60.0,0.0,0.9,0.9972684655153375
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,50.0,60.0,0.0,0.9,0.9976435869645712
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,50.0,60.0,0.0,0.9,0.9968933440661039
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,50.0,60.0,0.9,1.2,0.9972477596587254
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,50.0,60.0,0.9,1.2,0.997956978364164
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,50.0,60.0,0.9,1.2,0.9965385409532868
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,50.0,60.0,1.2,2.1,1.0028513047622143
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,50.0,60.0,1.2,2.1,1.0039043335261129
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,50.0,60.0,1.2,2.1,1.0017982759983157
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,50.0,60.0,2.1,2.4,1.007102696957796
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,50.0,60.0,2.1,2.4,1.0080577502049721
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,50.0,60.0,2.1,2.4,1.00614764371062
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,60.0,99999.0,0.0,0.9,0.9983348483359887
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,60.0,99999.0,0.0,0.9,0.9988454919503876
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,60.0,99999.0,0.0,0.9,0.9978242047215898
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,60.0,99999.0,0.9,1.2,0.9992036884205017
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,60.0,99999.0,0.9,1.2,1.0003420268985
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,60.0,99999.0,0.9,1.2,0.9980653499425034
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,60.0,99999.0,1.2,2.1,1.0019835090281612
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,60.0,99999.0,1.2,2.1,1.0028001632223116
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,60.0,99999.0,1.2,2.1,1.001166854834011
NUM_TightRelIso_DEN_MediumID_pt_abseta,central,60.0,99999.0,2.1,2.4,1.0045863747864294
NUM_TightRelIso_DEN_MediumID_pt_abseta,up,60.0,99999.0,2.1,2.4,1.0061354041758956
NUM_TightRelIso_DEN_MediumID_pt_abseta,down,60.0,99999.0,2.1,2.4,1.0030373453969632
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,central,0.0,20.0,0.0,0.9,0.9811605983521633
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,up,0.0,20.0,0.0,0.9,0.9874100619818905
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,down,0.0,20.0,0.0,0.9,0.9749111347224361
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,central,0.0,20.0,0.9,1.2,0.9953565473047773
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,up,0.0,20.0,0.9,1.2,1.0049690489214431
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,down,0.0,20.0,0.9,1.2,0.9857440456881116
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,central,0.0,20.0,1.2,2.1,1.0447467299898627
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,up,0.0,20.0,1.2,2.1,1.0489869962082063
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,down,0.0,20.0,1.2,2.1,1.0405064637715191
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,central,0.0,20.0,2.1,2.4,1.0885526940876278
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,up,0.0,20.0,2.1,2.4,1.0951162835174222
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,down,0.0,20.0,2.1,2.4,1.0819891046578334
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,central,20.0,25.0,0.0,0.9,0.9875959276750657
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,up,20.0,25.0,0.0,0.9,0.9906084620835275
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,down,20.0,25.0,0.0,0.9,0.9845833932666038
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,central,20.0,25.0,0.9,1.2,0.9864189571054587
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,up,20.0,25.0,0.9,1.2,0.991472432070942
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,down,20.0,25.0,0.9,1.2,0.9813654821399753
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,central,20.0,25.0,1.2,2.1,1.0287432256996452
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,up,20.0,25.0,1.2,2.1,1.0311203296687745
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,down,20.0,25.0,1.2,2.1,1.0263661217305158
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,central,20.0,25.0,2.1,2.4,1.0653280092553012
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,up,20.0,25.0,2.1,2.4,1.0692127971017258
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,down,20.0,25.0,2.1,2.4,1.0614432214088767
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,central,25.0,30.0,0.0,0.9,0.9887223090090205
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,up,25.0,30.0,0.0,0.9,0.9901632613641039
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,down,25.0,30.0,0.0,0.9,0.987281356653937
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,central,25.0,30.0,0.9,1.2,0.9905480054634463
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,up,25.0,30.0,0.9,1.2,0.993131344583979
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,down,25.0,30.0,0.9,1.2,0.9879646663429137
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,central,25.0,30.0,1.2,2.1,1.0200709229291791
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,up,25.0,30.0,1.2,2.1,1.0213313613428696
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,down,25.0,30.0,1.2,2.1,1.0188104845154886
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,central,25.0,30.0,2.1,2.4,1.0435275603506486
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,up,25.0,30.0,2.1,2.4,1.0456533621872166
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,down,25.0,30.0,2.1,2.4,1.0414017585140807
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,central,30.0,40.0,0.0,0.9,0.9935372601552865
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,up,30.0,40.0,0.0,0.9,0.993932312609006
NUM_TightRelIso_DEN_MediumID_pt_abseta_stat,down,30.0,40.0,0.0,0.9,0.993142207701567
