sfType,sysType,ptMin,ptMax,etaMin,etaMax,sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
IsoMu24_PtEtaBins,central,0.0,30.0,0.0,0.9,,,,,,,0.9746807721821608
IsoMu24_PtEtaBins,up,0.0,30.0,0.0,0.9,,,,,,,0.975376711769305
IsoMu24_PtEtaBins,down,0.0,30.0,0.0,0.9,,,,,,,0.9739848325950162
IsoMu24_PtEtaBins,central,0.0,30.0,0.9,1.2,,,,,,,0.9636285999891983
IsoMu24_PtEtaBins,up,0.0,30.0,0.9,1.2,,,,,,,0.965406498000241
IsoMu24_PtEtaBins,down,0.0,30.0,0.9,1.2,,,,,,,0.9618507019781553
IsoMu24_PtEtaBins,central,0.0,30.0,1.2,2.1,,,,,,,1.0100261814355764
IsoMu24_PtEtaBins,up,0.0,30.0,1.2,2.1,,,,,,,1.011333132936964
IsoMu24_PtEtaBins,down,0.0,30.0,1.2,2.1,,,,,,,1.008719229934189
IsoMu24_PtEtaBins,central,0.0,30.0,2.1,2.4,,,,,,,0.9816473264966371
IsoMu24_PtEtaBins,up,0.0,30.0,2.1,2.4,,,,,,,0.9847785747888295
IsoMu24_PtEtaBins,down,0.0,30.0,2.1,2.4,,,,,,,0.9785160782044448
IsoMu24_PtEtaBins,central,30.0,40.0,0.0,0.9,,,,,,,0.9800035541283018
IsoMu24_PtEtaBins,up,30.0,40.0,0.0,0.9,,,,,,,0.9802176372550827
IsoMu24_PtEtaBins,down,30.0,40.0,0.0,0.9,,,,,,,0.9797894710015207
IsoMu24_PtEtaBins,central,30.0,40.0,0.9,1.2,,,,,,,0.9721669699704537
IsoMu24_PtEtaBins,up,30.0,40.0,0.9,1.2,,,,,,,0.972606647754338
IsoMu24_PtEtaBins,down,30.0,40.0,0.9,1.2,,,,,,,0.9717272921865692
IsoMu24_PtEtaBins,central,30.0,40.0,1.2,2.1,,,,,,,1.0096613150725258
IsoMu24_PtEtaBins,up,30.0,40.0,1.2,2.1,,,,,,,1.010078851218851
IsoMu24_PtEtaBins,down,30.0,40.0,1.2,2.1,,,,,,,1.0092437789262005
IsoMu24_PtEtaBins,central,30.0,40.0,2.1,2.4,,,,,,,0.9986647423259509
IsoMu24_PtEtaBins,up,30.0,40.0,2.1,2.4,,,,,,,0.9997543150657247
IsoMu24_PtEtaBins,down,30.0,40.0,2.1,2.4,,,,,,,0.9975751695861771
IsoMu24_PtEtaBins,central,40.0,50.0,0.0,0.9,,,,,,,0.9803808379193677
IsoMu24_PtEtaBins,up,40.0,50.0,0.0,0.9,,,,,,,0.9805395472282745
IsoMu24_PtEtaBins,down,40.0,50.0,0.0,0.9,,,,,,,0.9802221286104608
IsoMu24_PtEtaBins,central,40.0,50.0,0.9,1.2,,,,,,,0.9742425664388888
IsoMu24_PtEtaBins,up,40.0,50.0,0.9,1.2,,,,,,,0.974521813534576
IsoMu24_PtEtaBins,down,40.0,50.0,0.9,1.2,,,,,,,0.9739633193432018
IsoMu24_PtEtaBins,central,40.0,50.0,1.2,2.1,,,,,,,1.0070653696133391
IsoMu24_PtEtaBins,up,40.0,50.0,1.2,2.1,,,,,,,1.0073378728139888
IsoMu24_PtEtaBins,down,40.0,50.0,1.2,2.1,,,,,,,1.0067928664126895
IsoMu24_PtEtaBins,central,40.0,50.0,2.1,2.4,,,,,,,1.007385241490224
IsoMu24_PtEtaBins,up,40.0,50.0,2.1,2.4,,,,,,,1.008223595360075
IsoMu24_PtEtaBins,down,40.0,50.0,2.1,2.4,,,,,,,1.0065468876203731
IsoMu24_PtEtaBins,central,50.0,60.0,0.0,0.9,,,,,,,0.9796688333156356
IsoMu24_PtEtaBins,up,50.0,60.0,0.0,0.9,,,,,,,0.9800324870760715
IsoMu24_PtEtaBins,down,50.0,60.0,0.0,0.9,,,,,,,0.9793051795551996
IsoMu24_PtEtaBins,central,50.0,60.0,0.9,1.2,,,,,,,0.972967342206836
IsoMu24_PtEtaBins,up,50.0,60.0,0.9,1.2,,,,,,,0.9735635964361109
IsoMu24_PtEtaBins,down,50.0,60.0,0.9,1.2,,,,,,,0.972371087977561
IsoMu24_PtEtaBins,central,50.0,60.0,1.2,2.1,,,,,,,1.004805714862405
IsoMu24_PtEtaBins,up,50.0,60.0,1.2,2.1,,,,,,,1.0054172678359703
IsoMu24_PtEtaBins,down,50.0,60.0,1.2,2.1,,,,,,,1.00419416188884
IsoMu24_PtEtaBins,central,50.0,60.0,2.1,2.4,,,,,,,1.0054639220091885
IsoMu24_PtEtaBins,up,50.0,60.0,2.1,2.4,,,,,,,1.0073416176749739
IsoMu24_PtEtaBins,down,50.0,60.0,2.1,2.4,,,,,,,1.003586226343403
IsoMu24_PtEtaBins,central,60.0,120.0,0.0,0.9,,,,,,,0.9781701566078078
IsoMu24_PtEtaBins,up,60.0,120.0,0.0,0.9,,,,,,,0.9787396594633258
IsoMu24_PtEtaBins,down,60.0,120.0,0.0,0.9,,,,,,,0.97760065375229
IsoMu24_PtEtaBins,central,60.0,120.0,0.9,1.2,,,,,,,0.9700449018400438
IsoMu24_PtEtaBins,up,60.0,120.0,0.9,1.2,,,,,,,0.9709813337776497
IsoMu24_PtEtaBins,down,60.0,120.0,0.9,1.2,,,,,,,0.9691084699024378
IsoMu24_PtEtaBins,central,60.0,120.0,1.2,2.1,,,,,,,1.0024706084348893
IsoMu24_PtEtaBins,up,60.0,120.0,1.2,2.1,,,,,,,1.0035278875344338
IsoMu24_PtEtaBins,down,60.0,120.0,1.2,2.1,,,,,,,1.001413329335345
IsoMu24_PtEtaBins,central,60.0,120.0,2.1,2.4,,,,,,,1.0169666046041026
IsoMu24_PtEtaBins,up,60.0,120.0,2.1,2.4,,,,,,,1.0204084979285462
IsoMu24_PtEtaBins,down,60.0,120.0,2.1,2.4,,,,,,,1.0135247112796586
IsoMu24_PtEtaBins,central,120.0,200.0,0.0,0.9,,,,,,,0.9743324579763153
IsoMu24_PtEtaBins,up,120.0,200.0,0.0,0.9,,,,,,,0.9811299284356997
IsoMu24_PtEtaBins,down,120.0,200.0,0.0,0.9,,,,,,,0.9675349875169308
IsoMu24_PtEtaBins,central,120.0,200.0,0.9,1.2,,,,,,,0.9688245577196429
IsoMu24_PtEtaBins,up,120.0,200.0,0.9,1.2,,,,,,,0.9726640895442107
IsoMu24_PtEtaBins,down,120.0,200.0,0.9,1.2,,,,,,,0.9649850258950752
IsoMu24_PtEtaBins,central,120.0,200.0,1.2,2.1,,,,,,,0.9999504836254405
IsoMu24_PtEtaBins,up,120.0,200.0,1.2,2.1,,,,,,,1.0038416169128206
IsoMu24_PtEtaBins,down,120.0,200.0,1.2,2.1,,,,,,,0.9960593503380605
IsoMu24_PtEtaBins,central,120.0,200.0,2.1,2.4,,,,,,,0.9985861138932028
IsoMu24_PtEtaBins,up,120.0,200.0,2.1,2.4,,,,,,,1.0230011806527608
IsoMu24_PtEtaBins,down,120.0,200.0,2.1,2.4,,,,,,,0.9741710471336448
IsoMu24_PtEtaBins,central,200.0,300.0,0.0,0.9,,,,,,,0.9792483049848942
IsoMu24_PtEtaBins,up,200.0,300.0,0.0,0.9,,,,,,,0.9850583269560044
IsoMu24_PtEtaBins,down,200.0,300.0,0.0,0.9,,,,,,,0.9734382830137838
IsoMu24_PtEtaBins,central,200.0,300.0,0.9,1.2,,,,,,,0.9409070120002255
IsoMu24_PtEtaBins,up,200.0,300.0,0.9,1.2,,,,,,,0.9515114491837132
IsoMu24_PtEtaBins,down,200.0,300.0,0.9,1.2,,,,,,,0.9303025748167377
IsoMu24_PtEtaBins,central,200.0,300.0,1.2,2.1,,,,,,,0.9890662646246595
IsoMu24_PtEtaBins,up,200.0,300.0,1.2,2.1,,,,,,,0.9978977319446194
IsoMu24_PtEtaBins,down,200.0,300.0,1.2,2.1,,,,,,,0.9802347973046996
IsoMu24_PtEtaBins,central,200.0,300.0,2.1,2.4,,,,,,,1.003323027453052
IsoMu24_PtEtaBins,up,200.0,300.0,2.1,2.4,,,,,,,1.04152354162884
IsoMu24_PtEtaBins,down,200.0,300.0,2.1,2.4,,,,,,,0.9651225132772637
IsoMu24_PtEtaBins,central,300.0,99999.0,0.0,0.9,,,,,,,0.9527773055100154
IsoMu24_PtEtaBins,up,300.0,99999.0,0.0,0.9,,,,,,,0.964237971801015
IsoMu24_PtEtaBins,down,300.0,99999.0,0.0,0.9,,,,,,,0.941316639219016
IsoMu24_PtEtaBins,central,300.0,99999.0,0.9,1.2,,,,,,,0.9419948445711923
IsoMu24_PtEtaBins,up,300.0,99999.0,0.9,1.2,,,,,,,0.9631327042944884
IsoMu24_PtEtaBins,down,300.0,99999.0,0.9,1.2,,,,,,,0.9208569848478966
IsoMu24_PtEtaBins,central,300.0,99999.0,1.2,2.1,,,,,,,0.9909174325343753
IsoMu24_PtEtaBins,up,300.0,99999.0,1.2,2.1,,,,,,,1.01255791740113
IsoMu24_PtEtaBins,down,300.0,99999.0,1.2,2.1,,,,,,,0.9692769476676204
IsoMu24_PtEtaBins,central,300.0,99999.0,2.1,2.4,,,,,,,0.9740293261666666
IsoMu24_PtEtaBins,up,300.0,99999.0,2.1,2.4,,,,,,,1.0777445560054713
IsoMu24_PtEtaBins,down,300.0,99999.0,2.1,2.4,,,,,,,0.8703140963278622
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,0.0,56.0,0.0,0.9,,,,,,,0.9768564981233647
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,0.0,56.0,0.0,0.9,,,,,,,0.977355681470444
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,0.0,56.0,0.0,0.9,,,,,,,0.9763573147762854
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,0.0,56.0,0.9,1.2,,,,,,,0.9684828730059529
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,0.0,56.0,0.9,1.2,,,,,,,0.9692967077587944
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,0.0,56.0,0.9,1.2,,,,,,,0.9676690382531116
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,0.0,56.0,1.2,2.1,,,,,,,0.9945295671904455
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,0.0,56.0,1.2,2.1,,,,,,,0.995377539850142
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,0.0,56.0,1.2,2.1,,,,,,,0.9936815945307494
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,0.0,56.0,2.1,2.4,,,,,,,0.974808671184623
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,0.0,56.0,2.1,2.4,,,,,,,0.9776852353622828
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,0.0,56.0,2.1,2.4,,,,,,,0.9719321070069633
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,56.0,60.0,0.0,0.9,,,,,,,0.9779298849518594
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,56.0,60.0,0.0,0.9,,,,,,,0.9786402177629839
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,56.0,60.0,0.0,0.9,,,,,,,0.9772195521407351
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,56.0,60.0,0.9,1.2,,,,,,,0.9694937897499852
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,56.0,60.0,0.9,1.2,,,,,,,0.9706384775651365
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,56.0,60.0,0.9,1.2,,,,,,,0.968349101934834
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,56.0,60.0,1.2,2.1,,,,,,,1.0003129335597485
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,56.0,60.0,1.2,2.1,,,,,,,1.0015075627083339
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,56.0,60.0,1.2,2.1,,,,,,,0.999118304411163
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,56.0,60.0,2.1,2.4,,,,,,,0.9909554554352105
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,56.0,60.0,2.1,2.4,,,,,,,0.9948976252939318
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,56.0,60.0,2.1,2.4,,,,,,,0.9870132855764897
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,60.0,120.0,0.0,0.9,,,,,,,0.9778404816602942
